359;0,000000;59
360;0,000000;70
361;0,000000;72
362;0,000000;65
363;0,000000;68
364;0,000000;87
365;0,000000;67
366;0,000000;72
367;0,000000;80
368;0,000000;82
369;0,000000;72
370;0,000000;69
371;0,000000;76
372;0,000000;74
373;0,000000;78
374;0,000000;71
375;0,000000;72
376;0,000000;69
377;0,000000;71
378;0,000000;74
379;0,000000;84
380;0,000000;92
381;0,000000;79
382;0,000000;63
383;0,000000;63
384;0,000000;85
385;0,000000;62
386;0,000000;97
387;0,000000;90
388;0,000000;74
389;0,000000;82
390;0,000000;81
391;0,000000;87
392;0,000000;75
393;0,000000;56
394;0,000000;79
395;0,000000;69
396;0,000000;95
397;0,000000;73
398;0,000000;63
399;0,000000;67
400;0,000000;83
401;0,000000;65
402;0,000000;70
403;0,000000;83
404;0,000000;75
405;0,000000;66
406;0,000000;73
407;0,000000;82
408;0,000000;76
409;0,000000;87
410;0,000000;73
411;0,000000;67
412;0,000000;70
413;0,000000;74
414;0,000000;60
415;0,000000;79
416;0,000000;74
417;0,000000;95
418;0,000000;87
419;0,000000;80
420;0,000000;77
421;0,000000;88
422;0,000000;79
423;0,000000;75
424;0,000000;85
425;0,000000;99
426;0,000000;90
427;0,000000;85
428;0,000000;88
429;0,000000;84
430;0,000000;75
431;0,000000;81
432;0,000000;69
433;0,000000;77
434;0,000000;87
435;0,000000;90
436;0,000000;89
437;0,000000;95
438;0,000000;100
439;0,000000;104
440;0,000000;88
441;0,000000;70
442;0,000000;81
443;0,000000;91
444;0,000000;82
445;0,000000;78
446;0,000000;89
447;0,000000;85
448;0,000000;94
449;0,000000;89
450;0,000000;73
451;0,000000;70
452;0,000000;87
453;0,000000;95
454;0,000000;90
455;0,000000;74
456;0,000000;80
457;0,000000;74
458;0,000000;82
459;0,000000;86
460;0,000000;80
461;0,000000;80
462;0,000000;98
463;0,000000;77
464;0,000000;72
465;0,000000;79
466;0,000000;79
467;0,000000;83
468;0,000000;81
469;0,000000;68
470;0,000000;76
471;0,000000;92
472;0,000000;75
473;0,000000;89
474;0,000000;76
475;0,000000;83
476;0,000000;81
477;0,000000;94
478;0,000000;64
479;0,000000;80
480;0,000000;100
481;0,000000;96
482;0,000000;83
483;0,000000;67
484;0,000000;72
485;0,000000;92
486;0,000000;82
487;0,000000;73
488;0,000000;78
489;0,000000;76
490;0,000000;69
491;0,000000;87
492;0,000000;85
493;0,000000;83
494;0,000000;81
495;0,000000;82
496;0,000000;85
497;0,000000;75
498;0,000000;74
499;0,000000;82
500;0,000000;74
501;0,000000;83
502;0,000000;87
503;0,000000;84
504;0,000000;82
505;0,000000;67
506;0,000000;71
507;0,000000;79
508;0,000000;72
509;0,000000;76
510;0,000000;91
511;0,000000;84
