Channel;Calibration;Value
280;0,000000;72
281;0,000000;76
282;0,000000;68
283;0,000000;62
284;0,000000;64
285;0,000000;61
286;0,000000;63
287;0,000000;44
288;0,000000;42
289;0,000000;51
290;0,000000;60
291;0,000000;49
292;0,000000;51
293;0,000000;45
294;0,000000;37
295;0,000000;38
296;0,000000;34
297;0,000000;48
298;0,000000;36
299;0,000000;30
300;0,000000;35
301;0,000000;34
302;0,000000;45
303;0,000000;26
304;0,000000;31
305;0,000000;41
306;0,000000;21
307;0,000000;25
308;0,000000;32
309;0,000000;36
310;0,000000;36
311;0,000000;27
312;0,000000;35
313;0,000000;28
314;0,000000;23
315;0,000000;27
316;0,000000;28
317;0,000000;30
318;0,000000;29
319;0,000000;29
320;0,000000;30
321;0,000000;34
322;0,000000;21
323;0,000000;26
324;0,000000;33
325;0,000000;32
326;0,000000;29
327;0,000000;33
328;0,000000;32
329;0,000000;25
330;0,000000;31
331;0,000000;26
332;0,000000;27
333;0,000000;34
334;0,000000;25
335;0,000000;34
336;0,000000;31
337;0,000000;41
338;0,000000;28
339;0,000000;30
340;0,000000;33
341;0,000000;36
342;0,000000;18
343;0,000000;28
344;0,000000;32
345;0,000000;15
346;0,000000;28
347;0,000000;25
348;0,000000;35
349;0,000000;33
350;0,000000;20
351;0,000000;29
352;0,000000;20
353;0,000000;28
354;0,000000;27
355;0,000000;30
356;0,000000;34
357;0,000000;21
358;0,000000;28
359;0,000000;20
360;0,000000;36
361;0,000000;35
362;0,000000;25
363;0,000000;25
364;0,000000;31
365;0,000000;26
366;0,000000;22
367;0,000000;41
368;0,000000;15
369;0,000000;33
370;0,000000;23
371;0,000000;23
372;0,000000;21
373;0,000000;29
374;0,000000;28
375;0,000000;24
376;0,000000;22
377;0,000000;14
378;0,000000;29
379;0,000000;27
380;0,000000;19
381;0,000000;23
382;0,000000;27
383;0,000000;29
384;0,000000;22
385;0,000000;25
386;0,000000;20
387;0,000000;21
388;0,000000;27
389;0,000000;23
390;0,000000;20
391;0,000000;27
392;0,000000;31
393;0,000000;20
394;0,000000;24
395;0,000000;28
396;0,000000;27
397;0,000000;20
398;0,000000;24
399;0,000000;25
400;0,000000;25
401;0,000000;27
402;0,000000;21
403;0,000000;34
404;0,000000;32
405;0,000000;32
406;0,000000;22
407;0,000000;25
408;0,000000;29
409;0,000000;34
410;0,000000;25
411;0,000000;34
412;0,000000;31
413;0,000000;28
414;0,000000;27
415;0,000000;25
416;0,000000;32
417;0,000000;26
418;0,000000;30
419;0,000000;36
420;0,000000;18
421;0,000000;30
422;0,000000;30
423;0,000000;18
424;0,000000;30
425;0,000000;31
426;0,000000;29
427;0,000000;37
428;0,000000;36
429;0,000000;34
430;0,000000;41
431;0,000000;38
432;0,000000;33
433;0,000000;33
434;0,000000;36
435;0,000000;27
436;0,000000;34
437;0,000000;39
438;0,000000;34
439;0,000000;33
440;0,000000;26
441;0,000000;30
442;0,000000;35
443;0,000000;35
444;0,000000;36
445;0,000000;40
446;0,000000;38
447;0,000000;33
448;0,000000;41
449;0,000000;34
450;0,000000;41
451;0,000000;45
452;0,000000;39
453;0,000000;32
454;0,000000;34
455;0,000000;35
456;0,000000;30
457;0,000000;44
458;0,000000;41
459;0,000000;43
460;0,000000;38
461;0,000000;45
462;0,000000;29
463;0,000000;42
464;0,000000;37
465;0,000000;47
466;0,000000;53
467;0,000000;43
468;0,000000;50
469;0,000000;37
470;0,000000;43
471;0,000000;31
472;0,000000;30
473;0,000000;41
474;0,000000;32
475;0,000000;37
476;0,000000;37
477;0,000000;36
478;0,000000;38
479;0,000000;48
480;0,000000;34
481;0,000000;35
482;0,000000;42
483;0,000000;37
484;0,000000;25
485;0,000000;45
486;0,000000;38
487;0,000000;35
488;0,000000;31
489;0,000000;32
490;0,000000;33
491;0,000000;44
492;0,000000;33
493;0,000000;42
494;0,000000;27
495;0,000000;28
496;0,000000;39
497;0,000000;40
498;0,000000;48
499;0,000000;31
500;0,000000;28
501;0,000000;34
502;0,000000;39
503;0,000000;35
504;0,000000;28
505;0,000000;33
506;0,000000;37
507;0,000000;30
508;0,000000;27
509;0,000000;27
510;0,000000;31
511;0,000000;33
512;0,000000;33
513;0,000000;31
514;0,000000;26
515;0,000000;23
516;0,000000;25
517;0,000000;40
518;0,000000;36
519;0,000000;32
520;0,000000;29
521;0,000000;23
522;0,000000;26
523;0,000000;22
524;0,000000;29
525;0,000000;27
526;0,000000;27
527;0,000000;27
528;0,000000;30
529;0,000000;20
530;0,000000;36
531;0,000000;24
532;0,000000;31
533;0,000000;26
534;0,000000;27
535;0,000000;37
536;0,000000;24
537;0,000000;22
538;0,000000;27
539;0,000000;17
540;0,000000;30
541;0,000000;27
542;0,000000;23
543;0,000000;31
544;0,000000;34
545;0,000000;15
546;0,000000;26
547;0,000000;18
548;0,000000;40
549;0,000000;25
550;0,000000;27
551;0,000000;25
552;0,000000;21
553;0,000000;28
554;0,000000;30
555;0,000000;23
556;0,000000;37
557;0,000000;25
558;0,000000;32
559;0,000000;28
560;0,000000;30
561;0,000000;24
562;0,000000;30
563;0,000000;37
564;0,000000;36
565;0,000000;37
566;0,000000;34
567;0,000000;34
568;0,000000;39
569;0,000000;21
570;0,000000;35
571;0,000000;28
572;0,000000;30
573;0,000000;36
574;0,000000;38
575;0,000000;42
576;0,000000;31
577;0,000000;41
578;0,000000;39
579;0,000000;35
580;0,000000;44
581;0,000000;43
582;0,000000;37
583;0,000000;40
584;0,000000;36
585;0,000000;39
586;0,000000;35
587;0,000000;28
588;0,000000;36
589;0,000000;37
590;0,000000;36
591;0,000000;41
592;0,000000;33
593;0,000000;45
594;0,000000;41
595;0,000000;31
596;0,000000;41
597;0,000000;30
